SEASON_ID,OFF_PLAYER_ID,OFF_PLAYER_NAME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,MATCHUP_MIN,PARTIAL_POSS,PLAYER_PTS,TEAM_PTS,MATCHUP_AST,MATCHUP_TOV,MATCHUP_BLK,MATCHUP_FGM,MATCHUP_FGA,MATCHUP_FG_PCT,MATCHUP_FG3M,MATCHUP_FG3A,MATCHUP_FG3_PCT,HELP_BLK,HELP_FGM,HELP_FGA,HELP_FG_PERC,MATCHUP_FTM,MATCHUP_FTA,SFL,MATCHUP_TIME_SEC,off_team_id,def_team_id,off_team_name,off_team_abv,off_team_color,def_team_name,def_team_abv,def_team_color
42022,1629001,De'Anthony Melton,1628969,Mikal Bridges,1,1:56,7.4,3,14,0,0,0,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,116.2,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,1629001,De'Anthony Melton,203915,Spencer Dinwiddie,1,1:45,7.2,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,104.7,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,203954,Joel Embiid,1628969,Mikal Bridges,1,1:27,6.8,2,8,1,1,0,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,87.3,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,202699,Tobias Harris,1629661,Cameron Johnson,1,1:16,6.4,5,16,1,1,0,2,3,0.667,1,1,1.0,0,0,0,0,0,0,0,76.0,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,201935,James Harden,1628969,Mikal Bridges,1,1:24,6.3,0,7,0,1,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,84.5,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,201935,James Harden,1629651,Nic Claxton,1,1:23,6.3,3,6,0,0,1,1,5,0.2,1,3,0.333,0,0,0,0,0,0,0,82.9,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,1629667,Jalen McDaniels,203915,Spencer Dinwiddie,1,1:09,6.0,0,10,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,68.8,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,200782,P.J. Tucker,1628969,Mikal Bridges,1,1:11,5.5,3,18,0,0,0,1,2,0.5,1,1,1.0,0,0,0,0,0,0,0,71.1,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,1629667,Jalen McDaniels,203925,Joe Harris,1,1:15,5.5,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,75.0,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,201935,James Harden,1629661,Cameron Johnson,1,1:07,5.4,3,10,0,0,0,1,4,0.25,1,2,0.5,0,0,0,0,0,0,0,66.6,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,203954,Joel Embiid,1627827,Dorian Finney-Smith,1,1:27,5.3,0,3,0,1,0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,87.4,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,1627777,Georges Niang,203552,Seth Curry,1,1:00,5.2,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,60.1,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,1630178,Tyrese Maxey,1627827,Dorian Finney-Smith,1,0:49,5.1,3,13,1,0,0,1,2,0.5,1,1,1.0,0,0,0,0,0,0,0,49.0,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,1630194,Paul Reed,1629651,Nic Claxton,1,1:15,5.0,2,8,0,0,0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,74.9,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,202699,Tobias Harris,1629651,Nic Claxton,1,0:49,4.6,0,9,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,48.8,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,1629003,Shake Milton,1630561,David Duke Jr.,1,0:56,4.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,56.2,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,200782,P.J. Tucker,203915,Spencer Dinwiddie,1,1:08,4.1,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,67.5,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,1630178,Tyrese Maxey,1629651,Nic Claxton,1,1:02,4.1,2,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,2,2,1,61.6,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,203954,Joel Embiid,1626220,Royce O'Neale,1,0:55,3.9,4,13,1,1,0,1,2,0.5,0,0,0.0,0,0,0,0,2,2,1,55.4,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,1630194,Paul Reed,203925,Joe Harris,1,0:47,3.8,4,10,0,0,0,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,47.1,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,202699,Tobias Harris,1627827,Dorian Finney-Smith,1,0:51,3.6,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,51.0,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
42022,1629001,De'Anthony Melton,1629661,Cameron Johnson,1,0:41,3.3,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,40.5,1610612755,1610612751,Philadelphia 76ers,PHI,#006BB6,Brooklyn Nets,BKN,#000000
