"","TEAM_NAME","TEAM_ID","GAME_ID","GAME_DATE","MATCHUP","game_number","version","OPP_NAME","matchup_start","round","matchup_full","TEAM_COLOR","OPP_COLOR","season"
"28","Denver Nuggets","1610612743","0042400222","2025-05-07","DEN vs. OKC","Game 2","Fri May 16 14:46:19","Oklahoma City Thunder","2025-05-05",2,"Round 2: DEN vs. OKC, Game 2","#0E2240","#007AC1","2024-25"
"29","Denver Nuggets","1610612743","0042400223","2025-05-09","DEN vs. OKC","Game 3","Fri May 16 14:46:19","Oklahoma City Thunder","2025-05-05",2,"Round 2: DEN vs. OKC, Game 3","#0E2240","#007AC1","2024-25"
"30","Denver Nuggets","1610612743","0042400224","2025-05-11","DEN vs. OKC","Game 4","Fri May 16 14:46:19","Oklahoma City Thunder","2025-05-05",2,"Round 2: DEN vs. OKC, Game 4","#0E2240","#007AC1","2024-25"
"31","Denver Nuggets","1610612743","0042400225","2025-05-13","DEN vs. OKC","Game 5","Fri May 16 14:46:19","Oklahoma City Thunder","2025-05-05",2,"Round 2: DEN vs. OKC, Game 5","#0E2240","#007AC1","2024-25"
"32","Denver Nuggets","1610612743","0042400226","2025-05-15","DEN vs. OKC","Game 6","Fri May 16 14:46:19","Oklahoma City Thunder","2025-05-05",2,"Round 2: DEN vs. OKC, Game 6","#0E2240","#007AC1","2024-25"
"33","Detroit Pistons","1610612765","0042400121","2025-04-19","DET vs. NYK","Game 1","Fri May 16 14:46:19","New York Knicks","2025-04-19",1,"Round 1: DET vs. NYK, Game 1","#C8102E","#006BB6","2024-25"
"34","Detroit Pistons","1610612765","0042400122","2025-04-21","DET vs. NYK","Game 2","Fri May 16 14:46:19","New York Knicks","2025-04-19",1,"Round 1: DET vs. NYK, Game 2","#C8102E","#006BB6","2024-25"
"35","Detroit Pistons","1610612765","0042400123","2025-04-24","DET vs. NYK","Game 3","Fri May 16 14:46:19","New York Knicks","2025-04-19",1,"Round 1: DET vs. NYK, Game 3","#C8102E","#006BB6","2024-25"
"36","Detroit Pistons","1610612765","0042400124","2025-04-27","DET vs. NYK","Game 4","Fri May 16 14:46:19","New York Knicks","2025-04-19",1,"Round 1: DET vs. NYK, Game 4","#C8102E","#006BB6","2024-25"
"37","Detroit Pistons","1610612765","0042400125","2025-04-29","DET vs. NYK","Game 5","Fri May 16 14:46:19","New York Knicks","2025-04-19",1,"Round 1: DET vs. NYK, Game 5","#C8102E","#006BB6","2024-25"
"38","Detroit Pistons","1610612765","0042400126","2025-05-01","DET vs. NYK","Game 6","Fri May 16 14:46:19","New York Knicks","2025-04-19",1,"Round 1: DET vs. NYK, Game 6","#C8102E","#006BB6","2024-25"
"39","Golden State Warriors","1610612744","0042400151","2025-04-20","GSW vs. HOU","Game 1","Fri May 16 14:46:19","Houston Rockets","2025-04-20",1,"Round 1: GSW vs. HOU, Game 1","#1D428A","#CE1141","2024-25"
"40","Golden State Warriors","1610612744","0042400152","2025-04-23","GSW vs. HOU","Game 2","Fri May 16 14:46:19","Houston Rockets","2025-04-20",1,"Round 1: GSW vs. HOU, Game 2","#1D428A","#CE1141","2024-25"
"41","Golden State Warriors","1610612744","0042400153","2025-04-26","GSW vs. HOU","Game 3","Fri May 16 14:46:19","Houston Rockets","2025-04-20",1,"Round 1: GSW vs. HOU, Game 3","#1D428A","#CE1141","2024-25"
"42","Golden State Warriors","1610612744","0042400154","2025-04-28","GSW vs. HOU","Game 4","Fri May 16 14:46:19","Houston Rockets","2025-04-20",1,"Round 1: GSW vs. HOU, Game 4","#1D428A","#CE1141","2024-25"
"43","Golden State Warriors","1610612744","0042400155","2025-04-30","GSW vs. HOU","Game 5","Fri May 16 14:46:19","Houston Rockets","2025-04-20",1,"Round 1: GSW vs. HOU, Game 5","#1D428A","#CE1141","2024-25"
"44","Golden State Warriors","1610612744","0042400156","2025-05-02","GSW vs. HOU","Game 6","Fri May 16 14:46:19","Houston Rockets","2025-04-20",1,"Round 1: GSW vs. HOU, Game 6","#1D428A","#CE1141","2024-25"
"45","Golden State Warriors","1610612744","0042400157","2025-05-04","GSW vs. HOU","Game 7","Fri May 16 14:46:19","Houston Rockets","2025-04-20",1,"Round 1: GSW vs. HOU, Game 7","#1D428A","#CE1141","2024-25"
"46","Golden State Warriors","1610612744","0042400231","2025-05-06","GSW vs. MIN","Game 1","Fri May 16 14:46:19","Minnesota Timberwolves","2025-05-06",2,"Round 2: GSW vs. MIN, Game 1","#1D428A","#236192","2024-25"
"47","Golden State Warriors","1610612744","0042400232","2025-05-08","GSW vs. MIN","Game 2","Fri May 16 14:46:19","Minnesota Timberwolves","2025-05-06",2,"Round 2: GSW vs. MIN, Game 2","#1D428A","#236192","2024-25"
"48","Golden State Warriors","1610612744","0042400233","2025-05-10","GSW vs. MIN","Game 3","Fri May 16 14:46:19","Minnesota Timberwolves","2025-05-06",2,"Round 2: GSW vs. MIN, Game 3","#1D428A","#236192","2024-25"
"49","Golden State Warriors","1610612744","0042400234","2025-05-12","GSW vs. MIN","Game 4","Fri May 16 14:46:19","Minnesota Timberwolves","2025-05-06",2,"Round 2: GSW vs. MIN, Game 4","#1D428A","#236192","2024-25"
"50","Golden State Warriors","1610612744","0042400235","2025-05-14","GSW vs. MIN","Game 5","Fri May 16 14:46:19","Minnesota Timberwolves","2025-05-06",2,"Round 2: GSW vs. MIN, Game 5","#1D428A","#236192","2024-25"
"51","Houston Rockets","1610612745","0042400151","2025-04-20","HOU vs. GSW","Game 1","Fri May 16 14:46:19","Golden State Warriors","2025-04-20",1,"Round 1: HOU vs. GSW, Game 1","#CE1141","#1D428A","2024-25"
"52","Houston Rockets","1610612745","0042400152","2025-04-23","HOU vs. GSW","Game 2","Fri May 16 14:46:19","Golden State Warriors","2025-04-20",1,"Round 1: HOU vs. GSW, Game 2","#CE1141","#1D428A","2024-25"
"53","Houston Rockets","1610612745","0042400153","2025-04-26","HOU vs. GSW","Game 3","Fri May 16 14:46:19","Golden State Warriors","2025-04-20",1,"Round 1: HOU vs. GSW, Game 3","#CE1141","#1D428A","2024-25"
"54","Houston Rockets","1610612745","0042400154","2025-04-28","HOU vs. GSW","Game 4","Fri May 16 14:46:19","Golden State Warriors","2025-04-20",1,"Round 1: HOU vs. GSW, Game 4","#CE1141","#1D428A","2024-25"
"55","Houston Rockets","1610612745","0042400155","2025-04-30","HOU vs. GSW","Game 5","Fri May 16 14:46:19","Golden State Warriors","2025-04-20",1,"Round 1: HOU vs. GSW, Game 5","#CE1141","#1D428A","2024-25"
"56","Houston Rockets","1610612745","0042400156","2025-05-02","HOU vs. GSW","Game 6","Fri May 16 14:46:19","Golden State Warriors","2025-04-20",1,"Round 1: HOU vs. GSW, Game 6","#CE1141","#1D428A","2024-25"
"57","Houston Rockets","1610612745","0042400157","2025-05-04","HOU vs. GSW","Game 7","Fri May 16 14:46:19","Golden State Warriors","2025-04-20",1,"Round 1: HOU vs. GSW, Game 7","#CE1141","#1D428A","2024-25"
"58","Indiana Pacers","1610612754","0042400131","2025-04-19","IND vs. MIL","Game 1","Fri May 16 14:46:19","Milwaukee Bucks","2025-04-19",1,"Round 1: IND vs. MIL, Game 1","#002D62","#00471B","2024-25"
"59","Indiana Pacers","1610612754","0042400132","2025-04-22","IND vs. MIL","Game 2","Fri May 16 14:46:19","Milwaukee Bucks","2025-04-19",1,"Round 1: IND vs. MIL, Game 2","#002D62","#00471B","2024-25"
"60","Indiana Pacers","1610612754","0042400133","2025-04-25","IND vs. MIL","Game 3","Fri May 16 14:46:19","Milwaukee Bucks","2025-04-19",1,"Round 1: IND vs. MIL, Game 3","#002D62","#00471B","2024-25"
"61","Indiana Pacers","1610612754","0042400134","2025-04-27","IND vs. MIL","Game 4","Fri May 16 14:46:19","Milwaukee Bucks","2025-04-19",1,"Round 1: IND vs. MIL, Game 4","#002D62","#00471B","2024-25"
"62","Indiana Pacers","1610612754","0042400135","2025-04-29","IND vs. MIL","Game 5","Fri May 16 14:46:19","Milwaukee Bucks","2025-04-19",1,"Round 1: IND vs. MIL, Game 5","#002D62","#00471B","2024-25"
"63","Indiana Pacers","1610612754","0042400201","2025-05-04","IND vs. CLE","Game 1","Fri May 16 14:46:19","Cleveland Cavaliers","2025-05-04",2,"Round 2: IND vs. CLE, Game 1","#002D62","#860038","2024-25"
"64","Indiana Pacers","1610612754","0042400202","2025-05-06","IND vs. CLE","Game 2","Fri May 16 14:46:19","Cleveland Cavaliers","2025-05-04",2,"Round 2: IND vs. CLE, Game 2","#002D62","#860038","2024-25"
"65","Indiana Pacers","1610612754","0042400203","2025-05-09","IND vs. CLE","Game 3","Fri May 16 14:46:19","Cleveland Cavaliers","2025-05-04",2,"Round 2: IND vs. CLE, Game 3","#002D62","#860038","2024-25"
"66","Indiana Pacers","1610612754","0042400204","2025-05-11","IND vs. CLE","Game 4","Fri May 16 14:46:19","Cleveland Cavaliers","2025-05-04",2,"Round 2: IND vs. CLE, Game 4","#002D62","#860038","2024-25"
